date,n_open,n_new,n_closed
2000-01-01,0,53,0
2000-01-02,53,42,0
2000-01-03,95,60,0
2000-01-04,155,49,0
2000-01-05,204,52,2
2000-01-06,254,67,1
2000-01-07,320,80,10
2000-01-08,390,75,10
2000-01-09,455,41,3
2000-01-10,493,52,3
2000-01-11,542,48,12
2000-01-12,578,51,18
2000-01-13,611,53,22
2000-01-14,642,76,30
2000-01-15,688,63,34
2000-01-16,717,40,33
2000-01-17,724,33,25
2000-01-18,732,49,31
2000-01-19,750,38,52
2000-01-20,736,62,61
2000-01-21,737,69,49
2000-01-22,757,46,34
2000-01-23,769,36,33
2000-01-24,772,47,30
2000-01-25,789,49,29
2000-01-26,809,35,13
2000-01-27,831,49,63
2000-01-28,817,90,25
2000-01-29,882,50,75
2000-01-30,857,33,28
2000-01-31,862,53,47
2000-02-01,868,68,49
2000-02-02,887,49,63
2000-02-03,873,49,44
2000-02-04,878,107,41
2000-02-05,944,65,82
2000-02-06,927,37,35
2000-02-07,929,58,47
2000-02-08,940,43,63
2000-02-09,920,48,32
2000-02-10,936,60,35
2000-02-11,961,81,56
2000-02-12,986,60,55
2000-02-13,991,40,46
2000-02-14,985,53,47
2000-02-15,991,69,68
2000-02-16,992,44,48
2000-02-17,988,49,41
2000-02-18,996,69,37
2000-02-19,1028,44,45
2000-02-20,1027,45,49
2000-02-21,1023,44,67
2000-02-22,1000,52,27
2000-02-23,1025,62,70
2000-02-24,1017,71,48
2000-02-25,1040,95,80
2000-02-26,1055,63,38
2000-02-27,1080,47,43
2000-02-28,1084,68,33
2000-02-29,1119,54,54
2000-03-01,1119,57,60
2000-03-02,1116,46,68
2000-03-03,1094,130,46
2000-03-04,1178,89,64
2000-03-05,1203,71,57
2000-03-06,1217,59,24
2000-03-07,1252,60,45
2000-03-08,1267,80,67
2000-03-09,1280,54,88
2000-03-10,1246,89,45
2000-03-11,1290,67,64
2000-03-12,1293,45,38
2000-03-13,1300,58,93
2000-03-14,1265,52,64
2000-03-15,1253,70,34
2000-03-16,1289,60,26
2000-03-17,1323,86,72
2000-03-18,1337,78,105
2000-03-19,1310,31,68
2000-03-20,1273,60,49
2000-03-21,1284,42,44
2000-03-22,1282,54,57
2000-03-23,1279,62,43
2000-03-24,1298,105,79
2000-03-25,1324,67,111
2000-03-26,1280,55,76
2000-03-27,1259,52,77
2000-03-28,1234,61,42
2000-03-29,1253,55,58
2000-03-30,1250,66,24
2000-03-31,1292,98,71
2000-04-01,1319,64,114
2000-04-02,1269,56,28
2000-04-03,1297,63,106
2000-04-04,1254,54,132
2000-04-05,1176,63,111
2000-04-06,1128,56,33
2000-04-07,1151,90,67
2000-04-08,1174,51,59
2000-04-09,1166,41,32
2000-04-10,1175,47,61
2000-04-11,1161,66,80
2000-04-12,1147,51,43
2000-04-13,1155,54,62
2000-04-14,1147,94,22
2000-04-15,1219,61,34
2000-04-16,1246,50,63
2000-04-17,1233,41,56
2000-04-18,1218,58,68
2000-04-19,1208,47,69
2000-04-20,1186,49,82
2000-04-21,1153,45,77
2000-04-22,1121,65,59
2000-04-23,1127,50,58
2000-04-24,1119,69,24
2000-04-25,1164,59,67
2000-04-26,1156,64,65
2000-04-27,1155,53,60
2000-04-28,1148,92,43
2000-04-29,1197,77,30
2000-04-30,1244,58,35
2000-05-01,1267,58,23
2000-05-02,1302,63,30
2000-05-03,1335,49,39
2000-05-04,1345,74,49
2000-05-05,1370,108,103
2000-05-06,1375,84,137
2000-05-07,1322,62,66
2000-05-08,1318,78,68
2000-05-09,1328,50,78
2000-05-10,1300,70,45
2000-05-11,1325,43,48
2000-05-12,1320,102,82
2000-05-13,1340,59,28
2000-05-14,1371,48,71
2000-05-15,1348,77,72
2000-05-16,1353,67,77
2000-05-17,1343,57,81
2000-05-18,1319,49,46
2000-05-19,1322,109,50
2000-05-20,1381,71,96
2000-05-21,1356,54,45
2000-05-22,1365,82,37
2000-05-23,1410,63,52
2000-05-24,1421,78,61
2000-05-25,1438,59,52
2000-05-26,1445,111,93
2000-05-27,1463,58,71
2000-05-28,1450,39,43
2000-05-29,1446,45,45
2000-05-30,1446,63,38
2000-05-31,1471,47,63
2000-06-01,1455,96,66
2000-06-02,1485,81,46
2000-06-03,1520,79,64
2000-06-04,1535,50,74
2000-06-05,1511,67,56
2000-06-06,1522,73,32
2000-06-07,1563,66,48
2000-06-08,1581,69,71
2000-06-09,1579,92,69
2000-06-10,1602,65,101
2000-06-11,1566,59,45
2000-06-12,1580,60,52
2000-06-13,1588,70,46
2000-06-14,1612,63,77
2000-06-15,1598,69,76
2000-06-16,1591,80,57
2000-06-17,1614,54,66
2000-06-18,1602,65,94
2000-06-19,1573,78,42
2000-06-20,1609,68,57
2000-06-21,1620,58,55
2000-06-22,1623,52,87
2000-06-23,1588,79,74
2000-06-24,1593,52,140
2000-06-25,1505,48,86
2000-06-26,1467,54,43
2000-06-27,1478,49,67
2000-06-28,1460,44,36
2000-06-29,1468,45,72
2000-06-30,1441,87,58
2000-07-01,1470,68,87
2000-07-02,1451,49,70
2000-07-03,1430,60,48
2000-07-04,1442,70,46
2000-07-05,1466,59,42
2000-07-06,1483,55,59
2000-07-07,1479,92,50
2000-07-08,1521,64,100
2000-07-09,1485,46,57
